"word","freq"
"신도시",28338
"공원",24994
"연수",21186
"맛집",19574
"센트럴",15965
"아파트",14208
"위치",14018
"워크",11027
"사진",9893
"삼둥이",11438
"시간",9022
"호텔",8847
"우리",8257
"주말",7943
"커넬",7870
"친구",7377
"전문",7372
"이번",7233
"소개",7029
"분양",6965
"추천",6911
"방문",6600
"카페",5901
"상가",5840
"사람",5710
"저녁",5493
"생각",5450
"날씨",5408
"캠퍼스",5131
"논현",5065
"시작",5050
"여행",4910
"나",4825
"지역",4769
"저희",4664
"부동산",4621
"국제",4571
"서울",4566
"축제",4531
"유명",4435
"더샵",4355
"가족",4311
"장소",4269
"가격",4197
"진행",4149
"구월동",4129
"점심",4129
"하나",4116
"건물",4012
"도시",3985
"근처",3952
"분위기",3936
"오피스텔",3925
"경매",3870
"아이",3849
"아울렛",3841
"여름",3803
"아침",3797
"음식",3768
"경기",3750
"부천",3714
"오픈",3702
"정보",3700
"오랜만",3663
"입주",3647
"데이트",3638
"세계",3538
"거리",3534
"그린",3513
"이야기",3510
"청라",3506
"어제",3499
"글로벌",3483
"가능",3449
"엄마",3445
"때문",3441
"준비",3439
"촬영",3425
"정도",3422
"모습",3404
"야경",3311
"얼마",3270
"센터",3221
"하루",3206
"도착",3201
"일상",3191
"사랑",3178
"최고",3122
"인테리어",3109
"컨벤시아",3105
"하시",3090
"오후",3085
"바람",3079
"진짜",3027
"옥련동",3003
"이곳",2907
"국제도시",2857
"마을",2854
"안내",2842
"행사",2818
"코스",2793
"아이들",2787
"개최",2778
"유원지",2765
"커피",2737
"자리",2673
"메뉴",2672
"학원",2666
"마지막",2661
"다양",2601
"여기",2599
"겨울",2593
"이용",2586
"푸르지오",2586
"공사",2576
"현장",2569
"예약",2566
"산책",2555
"마음",2534
"페어",2530
"시장",2521
"영종도",2482
"예정",2480
"구경",2468
"임대",2468
"식당",2454
"디자인",2451
"어린이",2446
"주변",2444
"이벤트",2431
"돌잔치",2427
"일산",2427
"개발",2424
"전망",2421
"교육",2413
"사실",2401
"설치",2394
"타운",2394
"고객",2389
"스퀘어",2378
"학교",2370
"영어",2345
"문화",2333
"깔끔",2319
"다음",2318
"바다",2318
"부평",2318
"동춘동",2317
"맥주",2293
"시공",2287
"페스티벌",2269
"이름",2260
"매장",2256
"월드",2229
"월세",2228
"일요일",2225
"번째",2219
"주문",2214
"사무실",2195
"동네",2193
"병원",2188
"이사",2177
"완전",2158
"주소",2150
"강남",2146
"이상",2146
"물건",2127
"베이비",2124
"예전",2121
"소식",2120
"인근",2107
"토요일",2107
"식사",2090
"기분",2077
"고고",2072
"행복",2065
"아빠",2063
"가지",2060
"상담",2058
"관리",2055
"포스팅",2047
"한옥",2043
"저렴",2041
"단지",2038
"하늘",2036
"회사",2030
"꽃집",2010
"고민",1997
"전화",1996
"쉐라톤",1984
"입구",1976
"언니",1975
"사용",1962
"파티",1950
"버스",1938
"검색",1930
"레스토랑",1923
"라마",1914
"시티",1914
"동안",1913
"사업",1906
"생일",1904
"남동구",1900
"커튼",1897
"대학",1894
"쇼핑",1878
"피부",1874
"대학교",1868
"출발",1867
"운동",1850
"오전",1843
"선물",1838
"갈비",1834
"경제",1828
"전세",1827
"예요",1818
"대교",1816
"뉴스",1791
"규모",1786
"수리",1785
"특별",1785
"운영",1781
"시원",1768
"올해",1768
"국내",1766
"아기",1757
"웨딩",1756
"수업",1753
"요리",1738
"소래",1731
"무료",1726
"처음",1714
"퍼스트",1713
"연세",1707
"인기",1688
"관심",1687
"수원",1662
"블라인드",1661
"안산",1655
"사이",1641
"박람회",1640
"근데",1636
"라인",1635
"치즈",1630
"작업",1629
"캠핑",1625
"오크우드",1608
"자전거",1597
"투자",1596
"업무",1594
"모임",1582
"빌딩",1574
"남자",1571
"복합",1571
"청학",1562
"타워",1560
"가구",1559
"고급",1554
"학생",1549
"자동차",1546
"수도권",1540
"중고",1538
"남동공단",1530
"삼성",1530
"공항",1529
"선학",1529
"작년",1520
"사람들",1517
"신랑",1516
"포구",1516
"대우",1514
"자유",1514
"청소",1513
"오빠",1505
"여자",1503
"가을",1498
"방법",1498
"아래",1496
"지구",1490
"주안",1489
"전국",1485
"감사",1484
"원룸",1481
"미래",1472
"언제",1472
"생활",1465
"해돋이",1462
"다들",1457
"매물",1456
"한국",1454
"번호",1450
"대표",1447
"디저트",1446
"할인",1445
"머리",1439
"계획",1438
"무한",1434
"외국",1433
"출장",1432
"이날",1426
"정식",1423
"공간",1419
"풍경",1415
"노래",1407
"저번",1407
"이웃",1402
"중심",1398
"이유",1396
"블로그",1393
"기업",1390
"슈퍼맨이",1389
"제작",1388
"강화",1384
"분당",1381
"플라워",1380
"분양가",1379
"동생",1378
"내용",1375
"시흥",1374
"스냅",1363
"판매",1363
"차량",1358
"산업",1355
"일정",1354
"궁금",1345
"체험",1340
"건강",1335
"기억",1334
"어디",1322
"관련",1317
"방송",1316
"하우스",1316
"김포",1298
"도전",1297
"음악",1296
"거실",1290
"필요",1287
"사무",1281
"트라이",1279
"드라이브",1278
"스타일",1271
"공연",1269
"달빛",1269
"건설",1266
"내부",1264
"다리",1264
"메이",1261
"서비스",1253
"마스터뷰",1248
"이전",1248
"소재",1245
"주차",1245
"중국",1245
"서구",1243
"공장",1237
"수제",1236
"파스타",1233
"참가",1230
"에",1227
"안전",1220
"의원",1217
"최대",1216
"남편",1215
"개월",1213
"주민",1213
"고기",1204
"교체",1196
"스튜디오",1182
"유리",1181
"마크",1171
"조성",1170
"제품",1169
"해양",1166
"제주",1164
"핸드",1162
"연휴",1161
"돌스냅",1160
"문학",1160
"선택",1158
