"word","freq"
"오피스",1150
"예상",1149
"강서구",1147
"천지",1143
"동춘",1138
"서울대",1138
"공부",1135
"부개동",1135
"전문가",1135
"거주",1134
"대전",1128
"프로그램",1128
"먹방",1122
"접근",1122
"제거",1122
"낚시터",1121
"면적",1120
"성장",1120
"미세",1119
"금리",1117
"출퇴근",1117
"테마",1116
"풍림",1114
"회생",1112
"추진",1111
"횟집",1110
"조망",1109
"자랑",1108
"청약",1108
"동구",1106
"등록",1106
"케어",1104
"샐러드",1102
"조황",1100
"박스",1099
"먼지",1094
"빵집",1093
"대상",1091
"롯데캐슬",1090
"검암동",1088
"스마트",1088
"클릭",1087
"맛집이",1086
"신정",1084
"골프",1080
"발전",1077
"호재",1077
"고지",1076
"전통",1075
"고속도로",1073
"월동",1073
"과외",1070
"마사지",1069
"그것",1068
"남동",1068
"해물",1068
"직원",1063
"키즈",1063
"나타운",1062
"시대",1062
"주일",1062
"가득",1061
"확실",1061
"경험",1058
"부터",1058
"석남동",1058
"드림",1055
"마크",1054
"시화",1052
"작동",1052
"네요",1051
"대회",1051
"고양",1048
"편안",1048
"전화번호",1047
"덕분",1046
"변경",1045
"조용",1045
"야간",1041
"출처",1041
"공유",1040
"추억",1039
"고척동",1038
"불빛",1037
"그랜드",1035
"동산",1034
"칼국수",1034
"야외",1033
"전세자금",1033
"도화동",1032
"추석",1031
"커플",1031
"장미",1028
"해양",1028
"출구",1026
"입학",1025
"떡볶이",1023
"취미",1023
"결과",1022
"그림",1022
"며칠",1022
"도움",1021
"입주금",1021
"코팅",1021
"회원",1019
"나무",1018
"오라",1017
"나름",1016
"선생님",1016
"설계",1016
"좌대",1016
"스포츠",1015
"공급",1013
"월미도",1013
"아가",1012
"사장님",1009
"홀리데이",1009
"전자",1008
"송전",1005
"트라이",1005
"갈매기",1004
"돌스냅",1003
"집사",999
"각종",998
"네이버",998
"출근",998
"클리닉",998
"그동안",994
"신기",994
"옥련",994
"수영장",992
"크림",992
"증상",991
"광주",988
"꽃배달",988
"쭈꾸미",988
"리뷰",985
"부평역",985
"꽃바구니",984
"상황",983
"성인",982
"송전지",982
"비슷",978
"제공",978
"독산",976
"수동",976
"모델",975
"냉면",974
"임신",974
"기사",969
"기준",968
"단체",968
"임플란트",966
"운행",965
"카드",965
"하자",964
"캠핑",963
"중간",959
"조개",958
"뉴욕",957
